PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3sPM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Plus/Minus,FP
Myles Turner,MIL,MIL @ CHA,11/12/2025,L,29,21,7,14,50,3,8,37.5,4,5,80,2,1,3,2,2,2,1,3,-11,38.6
Paul Reed,DET,DET vs. CHI,11/12/2025,W,31,28,11,13,84.6,2,2,100,4,4,100,6,7,13,6,4,1,4,3,26,63.6
Javonte Green,DET,DET vs. CHI,11/12/2025,W,32,9,3,7,42.9,0,2,0,3,7,42.9,1,3,4,0,1,0,3,2,16,13.8
Ronald Holland II,DET,DET vs. CHI,11/12/2025,W,28,9,4,11,36.4,1,3,33.3,0,0,-,0,6,6,1,3,0,2,2,14,24.7
Matas Buzelis,CHI,CHI @ DET,11/12/2025,L,34,21,7,14,50,2,5,40,5,5,100,2,12,14,2,0,2,4,2,0,42.8
Nikola Vučević,CHI,CHI @ DET,11/12/2025,L,25,6,3,10,30,0,4,0,0,0,-,1,5,6,3,0,0,3,1,-10,14.7
Kon Knueppel,CHA,CHA vs. MIL,11/12/2025,W,34,16,5,13,38.5,3,8,37.5,3,4,75,0,6,6,1,0,0,3,1,6,21.7
Wendell Moore Jr.,DET,DET vs. CHI,11/12/2025,W,10,2,1,1,100,0,0,-,0,0,-,0,0,0,1,1,1,0,0,0,9.5
Caris LeVert,DET,DET vs. CHI,11/12/2025,W,22,17,8,11,72.7,0,1,0,1,2,50,0,1,1,5,1,2,3,2,3,31.7
Noah Penda,ORL,ORL @ NYK,11/12/2025,W,2,0,0,0,-,0,0,-,0,0,-,1,2,3,1,0,0,1,0,0,4.1
Pacôme Dadiet,NYK,NYK vs. ORL,11/12/2025,L,2,2,1,2,50,0,1,0,0,0,-,0,0,0,1,0,0,0,0,0,3.5
Jase Richardson,ORL,ORL @ NYK,11/12/2025,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,0,0,1.5
Mohamed Diawara,NYK,NYK vs. ORL,11/12/2025,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2,0
Tyler Kolek,NYK,NYK vs. ORL,11/12/2025,L,2,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2,2
John Konchar,MEM,MEM @ BOS,11/12/2025,L,6,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-1,0
Ron Harper Jr.,BOS,BOS vs. MEM,11/12/2025,W,4,6,2,2,100,2,2,100,0,0,-,0,0,0,0,0,1,0,1,-1,9
Ariel Hukporti,NYK,NYK vs. ORL,11/12/2025,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2,0
Jaylen Brown,BOS,BOS vs. MEM,11/12/2025,W,25,19,8,16,50,2,5,40,1,2,50,3,3,6,6,0,0,2,2,29,33.2
